TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
35,4.5,1,4,21,7,35,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,1.5,5,4,23,7,36,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,17,1,3,0,5,1.0,0.0,4.999826,5.9988503,6.0157948,6.0160017,9.032395,9.0326185,3.0,1.133474,10.166093,12.549653,3.5178201,12.550602,13.55472
2,2,1,25,8,1.5,11,8,1.0,1.0,14.54994,15.548977,15.565903,15.566127,17.082375,17.082535,999.0,999.0,999.0,20.099014,3.5346513,20.617367,28.62078
3,3,3,21,5,3,0,9,1.0,2.0,29.61654,30.61573,30.632298,30.632504,33.649258,33.649445,2.0,1.033395,34.68284,37.16608,3.5173094,37.166885,42.171886
4,4,2,15,1,1.5,5,7,1.0,3.0,43.166557,44.165855,44.18248,44.182693,45.69872,45.698875,3.0,0.5336848,46.23256,49.216507,3.5183156,49.217342,50.221657
5,5,1,25,3,1.5,5,2,1.0,4.0,51.2167,52.215492,52.23213,52.23234,53.748833,53.748985,--,--,--,--,--,--,--
6,6,1,25,3,1.5,11,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,2,25,1,1.5,8,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,2,17,1,3,1,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,2,17,5,1.5,1,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,1,23,1,1.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,3,17,8,4.5,0,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,2,23,3,4.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,2,21,3,4.5,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,2,15,3,1.5,1,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3,23,8,1.5,0,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,3,19,5,3,9,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,3,15,1,1.5,5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,3,21,3,1.5,0,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,2,19,5,1.5,4,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,1,25,1,3,8,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,15,3,3,1,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,1,21,3,1.5,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,1,21,1,4.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,1,19,1,3,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,23,1,1.5,0,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,3,23,1,1.5,4,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,3,15,3,3,0,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,2,25,1,1.5,5,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,15,1,3,0,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,3,15,1,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,17,1,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,2,23,1,1.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,1,25,3,4.5,8,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,1,17,1,1.5,8,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,2,21,1,4.5,4,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,23,5,1.5,4,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,17,1,3,0,5,1.0,0.0,4.994452,5.99332,6.010274,6.0105743,9.026633,9.026871,2.0,1.4165846,10.443455,12.544095,3.51803,12.545061,13.549185
2,2,1,25,8,1.5,11,8,1.0,1.0,14.544792,15.543334,15.560011,15.560326,17.076622,17.076777,3.0,2.0170178,19.093796,20.592743,3.5166457,20.593575,28.597889
3,3,3,21,5,3,0,9,1.0,2.0,29.594454,30.593197,30.610502,30.610788,33.627552,33.627747,3.0,2.2989528,35.9267,37.145073,3.5180287,37.145905,42.149567
4,4,2,15,1,1.5,5,7,1.0,3.0,43.144207,44.143227,44.160175,44.160538,45.676563,45.676727,2.0,1.2167704,46.893497,49.19455,3.5184853,49.195354,50.1995
5,5,1,25,3,1.5,5,2,1.0,4.0,51.19452,52.193226,52.209736,52.210037,53.726547,53.726704,2.0,1.8165675,55.543274,57.244526,3.5184925,57.245327,60.24952
6,6,1,25,3,1.5,11,8,1.0,5.0,61.24433,62.243134,62.259922,62.260227,63.776375,63.776558,2.0,1.5337068,65.310265,67.293495,3.5176125,67.294304,70.29933
7,7,2,25,1,1.5,8,2,1.0,6.0,71.294395,72.2934,72.309746,72.31007,73.82672,73.82689,3.0,0.9334947,74.76038,77.34449,3.5182872,77.345314,78.35043
8,8,2,17,1,3,1,3,1.0,7.0,79.34433,80.34326,80.35978,80.36009,83.376236,83.37642,2.0,1.0335943,84.41001,86.89336,3.5176182,86.894165,87.89844
9,9,2,17,5,1.5,1,5,1.0,8.0,88.89444,89.89304,89.91004,89.91038,91.426254,91.42644,2.0,1.7834185,93.209854,94.94343,3.517679,94.944244,99.949104
10,10,1,23,1,1.5,7,4,1.0,9.0,100.94426,101.94312,101.95981,101.96012,103.47642,103.47657,2.0,1.5664546,105.04302,106.993546,3.5176568,106.994385,107.99863
11,11,3,17,8,4.5,0,1,1.0,10.0,108.99428,109.9931,110.009636,110.009895,114.52739,114.52758,2.0,2.0824158,116.60999,118.04459,3.5177112,118.045425,126.048615
12,12,2,23,3,4.5,7,4,1.0,11.0,127.04435,128.04279,128.05975,128.06006,132.57635,132.5765,3.0,1.9830583,134.55957,136.09425,3.5184267,136.09508,139.09914
13,13,2,21,3,4.5,9,1,1.0,12.0,140.09401,141.09317,141.10966,141.10997,145.62619,145.62637,3.0,1.5336818,147.16005,149.14333,3.5176213,149.14412,152.14821
14,14,2,15,3,1.5,1,5,1.0,13.0,153.14429,154.14302,154.1597,154.16002,155.67632,155.67647,2.0,1.5833924,157.25986,159.1934,3.5175965,159.19421,162.19928
15,15,3,23,8,1.5,0,4,1.0,14.0,163.19398,164.19289,164.20953,164.20981,165.72629,165.72647,2.0,1.8502221,167.57669,169.24231,3.5165114,169.24312,177.24724
16,16,3,19,5,3,9,0,1.0,15.0,178.24402,179.24295,179.25974,179.26,182.27606,182.27628,2.0,1.4843823,183.76065,185.79189,3.5163271,185.79272,190.79723
17,17,3,15,1,1.5,5,0,1.0,16.0,191.79405,192.79288,192.80977,192.81003,194.32617,194.32635,2.0,1.1836706,195.51003,197.8432,3.5175385,197.84402,198.84836
18,18,3,21,3,1.5,0,9,1.0,17.0,199.84404,200.84274,200.8597,200.85995,202.37617,202.37636,3.0,1.500339,203.8767,205.8928,3.517137,205.89363,208.89798
19,19,2,19,5,1.5,4,6,1.0,18.0,209.89392,210.89293,210.90955,210.90985,212.42616,212.42633,2.0,1.91678,214.34311,215.9432,3.5175667,215.94403,220.94815
20,20,1,25,1,3,8,5,1.0,19.0,221.944,222.94283,222.95956,222.95988,225.97585,225.97601,2.0,1.1839035,227.15991,229.493,3.5176666,229.4938,230.49814
21,21,2,15,3,3,1,3,1.0,20.0,231.49396,232.49277,232.50981,232.51013,235.52612,235.52628,2.0,1.7000715,237.22635,239.0431,3.5174975,239.04393,242.04808
22,22,1,21,3,1.5,9,1,1.0,21.0,243.04387,244.04288,244.05933,244.05963,245.57672,245.57687,2.0,1.8331922,247.41006,249.09312,3.5169184,249.09392,252.09807
23,23,1,21,1,4.5,4,1,1.0,22.0,253.09515,254.0928,254.1096,254.10991,258.62607,258.62622,2.0,1.8502792,260.4765,262.14294,3.517405,262.14377,263.1479
24,24,1,19,1,3,1,9,1.0,23.0,264.144,265.14282,265.15924,265.15955,268.1761,268.17633,3.0,1.2332497,269.40958,271.69333,3.5177426,271.6942,272.69846
25,25,3,23,1,1.5,0,7,1.0,24.0,273.6937,274.69284,274.70923,274.7095,276.226,276.22623,2.0,2.5834455,278.80966,279.74292,3.5173666,279.7437,280.74835
26,26,3,23,1,1.5,4,0,1.0,25.0,281.74387,282.7428,282.75955,282.75998,284.276,284.27618,3.0,1.8169687,286.09317,287.794,3.5184722,287.7948,288.79898
27,27,3,15,3,3,0,7,1.0,26.0,289.79382,290.7927,290.80927,290.80954,293.82697,293.82718,3.0,1.3992354,295.2264,297.34424,3.5177746,297.34506,300.34955
28,28,2,25,1,1.5,5,11,1.0,27.0,301.3435,302.34265,302.3593,302.35962,303.87595,303.87613,2.0,1.2168064,305.09293,307.39346,3.5180364,307.3943,308.39893
29,29,3,15,1,3,0,3,1.0,28.0,309.39365,310.3925,310.40952,310.4098,313.42572,313.42593,2.0,1.716953,315.14288,316.94293,3.517668,316.94376,317.9479
30,30,3,15,1,3,3,0,1.0,29.0,318.9438,319.9425,319.9591,319.95935,322.97592,322.9761,3.0,1.7834215,324.75952,326.4926,3.517237,326.49347,327.4978
31,31,1,17,1,1.5,3,1,1.0,30.0,328.49374,329.49268,329.50922,329.50952,331.02573,331.0259,999.0,999.0,999.0,334.02603,3.5136147,334.5397,335.54385
32,32,2,23,1,1.5,7,1,1.0,31.0,336.54355,337.5426,337.55945,337.55978,339.0757,339.0759,2.0,1.8672094,340.94308,342.59204,3.51688,342.5929,343.59787
33,33,1,25,3,4.5,8,11,1.0,32.0,344.59402,345.59262,345.6094,345.6097,350.12585,350.12604,3.0,1.4168817,351.5429,353.64297,3.5176234,353.64377,356.6481
34,34,1,17,1,1.5,8,3,1.0,33.0,357.6436,358.6427,358.65927,358.65958,360.17584,360.176,2.0,1.1167656,361.29276,363.69284,3.5175161,363.69363,364.69818
35,35,2,21,1,4.5,4,7,1.0,34.0,365.6936,366.6925,366.70932,366.70963,371.2258,371.22595,2.0,0.93347687,372.15942,374.74277,3.5174854,374.74356,375.7478
36,36,1,23,5,1.5,4,7,1.0,35.0,376.74414,377.7424,377.759,377.7593,379.2768,379.27695,3.0,1.5493608,380.82632,382.7938,3.5175138,382.7946,387.79877
